				BA_1	BA_2	BA_3	BA_4	SF_1	SF_2	SF_3	SF_4
ENSBTAG00000008154_LIMD2	LIMD2	LIMD2	LIMD2	4	6	10	6	2	0	14	2
ENSBTAG00000008155_SUN3	SUN3	SUN3	SUN3	0	2	0	0	0	1	11	0
ENSBTAG00000008158_CCDC68	CCDC68	CCDC68	CCDC68	0	2	0	0	0	0	0	0
ENSBTAG00000008159_ZC2HC1B	ZC2HC1B	ZC2HC1B	ZC2HC1B	0	3	0	4	0	11	4	15
ENSBTAG00000008160_MBOAT2	MBOAT2	MBOAT2	MBOAT2	0	0	9	2	0	0	0	0
ENSBTAG00000008161_CLCA1	CLCA1	CLCA1	CLCA1	11	2	10	0	19	3	0	0
ENSBTAG00000008165_ITGA2B	ITGA2B	ITGA2B	ITGA2B	2	3	3	6	5	0	4	0
ENSBTAG00000008167_TTC3	TTC3	TTC3	TTC3	74	94	48	162	20	92	133	63
ENSBTAG00000008168_STARD6	STARD6	STARD6	STARD6	0	5	0	0	0	0	0	0
ENSBTAG00000008169_C24H18orf54	C24H18orf54	C24H18orf54	C24H18orf54	3	0	11	0	0	0	0	0
ENSBTAG00000008170_POLA1	POLA1	POLA1	POLA1	173	38	183	100	33	8	19	10
ENSBTAG00000008172_EGLN3	EGLN3	EGLN3	EGLN3	40	15	17	19	1175	638	1003	1239
ENSBTAG00000008173_TRIM13	TRIM13	TRIM13	TRIM13	107	116	97	79	28	32	67	78
ENSBTAG00000008175_ZNF713	ZNF713	ZNF713	ZNF713	5	0	3	0	0	5	6	0
ENSBTAG00000008176_KCNRG	KCNRG	KCNRG	KCNRG	0	0	0	0	4	0	0	0
ENSBTAG00000008177_OR8I15P	OR8I15P	OR8I15P	OR8I15P	0	0	0	0	0	0	0	0
ENSBTAG00000008180_SPDL1	SPDL1	SPDL1	SPDL1	70	9	170	39	18	2	8	5
ENSBTAG00000008181_CHAF1A	CHAF1A	CHAF1A	CHAF1A	119	62	147	127	10	10	18	10
ENSBTAG00000008182_FOSB	FOSB	FOSB	FOSB	10	0	0	8	6	1	0	1
ENSBTAG00000008183_MBTPS2	MBTPS2	MBTPS2	MBTPS2	47	27	77	37	22	24	31	17
ENSBTAG00000008184_CCT6A	CCT6A	CCT6A	CCT6A	2186	1098	2138.99	1229	495.99	579	801	441
ENSBTAG00000008185_RTN2	RTN2	RTN2	RTN2	73	124	42	62	60	44	39	41
ENSBTAG00000008186_UBXN6	UBXN6	UBXN6	UBXN6	50	64	37	39	25	23	50	48
ENSBTAG00000008188_MOSMO	MOSMO	MOSMO	MOSMO	0	0	0	0	0	0	2	0
ENSBTAG00000008190_SUMF2	SUMF2	SUMF2	SUMF2	229	123	183	249	131	164	285	244
ENSBTAG00000008191_SLC39A7	SLC39A7	SLC39A7	SLC39A7	342	279	346	281	134	269	368	215
ENSBTAG00000008192_PLPPR2	PLPPR2	PLPPR2	PLPPR2	1	4	3	2	18	5	9	2
ENSBTAG00000008195_PHKG1	PHKG1	PHKG1	PHKG1	13	27	14	31	18	35	23	21
ENSBTAG00000008196_SWSAP1	SWSAP1	SWSAP1	SWSAP1	75	46	48	94	27	25	21	35
ENSBTAG00000008197_EPOR	EPOR	EPOR	EPOR	27	45	18	46	0	1	2	6
ENSBTAG00000008198_RGL3	RGL3	RGL3	RGL3	3	10	0	0	0	0	0	6
ENSBTAG00000008201_ODAD3	ODAD3	ODAD3	ODAD3	0	0	1	0	0	0	0	0
ENSBTAG00000008202_PRKCSH	PRKCSH	PRKCSH	PRKCSH	179	189	185	242	56	101	116	95
ENSBTAG00000008204_CARNMT1	CARNMT1	CARNMT1	CARNMT1	18	14	43	38	6	29	21	12
ENSBTAG00000008213_ATMIN	ATMIN	ATMIN	ATMIN	115	148	41	73	85	30	77	50
ENSBTAG00000008216_RRM2	RRM2	RRM2	RRM2	869	337	1205	591	87	44	0	76
ENSBTAG00000008218_NPTN	NPTN	NPTN	NPTN	598	471	474	459	484	540	461	568
ENSBTAG00000008219_RBM7	RBM7	RBM7	RBM7	483	316	379	477	225	197	172	175
ENSBTAG00000008220_C15H11orf71	C15H11orf71	C15H11orf71	C15H11orf71	99	48	69	97	66	78	70	67
ENSBTAG00000008222_EEF2KMT	EEF2KMT	EEF2KMT	EEF2KMT	86	60	66	64	19	38	33	51
ENSBTAG00000008223_NLRC4	NLRC4	NLRC4	NLRC4	9	4	0	1	0	0	0	0
ENSBTAG00000008224_PAIP2	PAIP2	PAIP2	PAIP2	2140	1624	1561	1976	966	918	925	1486
ENSBTAG00000008227_LIPT2	LIPT2	LIPT2	LIPT2	9	12	17	12	0	6	0	2
ENSBTAG00000008228_BEND6	BEND6	BEND6	BEND6	0	0	1	0	0	0	0	0
ENSBTAG00000008232_DAB2IP	DAB2IP	DAB2IP	DAB2IP	1	13	9	24	17	21	36	51
ENSBTAG00000008236_OR51E2	OR51E2	OR51E2	OR51E2	0	2	0	0	0	0	0	0
ENSBTAG00000008237_TOLLIP	TOLLIP	TOLLIP	TOLLIP	326	208	283	216	102	297	402	300
ENSBTAG00000008238_S100A7	S100A7	S100A7	S100A7	0	0	1	0	0	0	0	0
ENSBTAG00000008240_GALNT15	GALNT15	GALNT15	GALNT15	1	0	0	1	0	0	0	0
ENSBTAG00000008241_MRPS5	MRPS5	MRPS5	MRPS5	661	337	469	550	81	153	152	189
ENSBTAG00000008243_LRRC40	LRRC40	LRRC40	LRRC40	278	160	151	188	69	62	28	30
ENSBTAG00000008248	#VALUE!	-	ENSBTAG00000008248	0	2	1	2	0	0	2	0
ENSBTAG00000008250_SPRY4	SPRY4	SPRY4	SPRY4	15	4	4	0	0	0	0	0
ENSBTAG00000008251_SNRPN	SNRPN	SNRPN	SNRPN	460	282	326	282	49	93	125	64
ENSBTAG00000008253_EXPH5	EXPH5	EXPH5	EXPH5	26	16	30	33	76	69	68	51
ENSBTAG00000008255_QRFPR	QRFPR	QRFPR	QRFPR	0	0	0	0	0	0	0	0
ENSBTAG00000008257	#VALUE!	-	ENSBTAG00000008257	3.09	4.08	1.04	7.18	9.24	4.1	4.17	1.02
ENSBTAG00000008259_ACOD1	ACOD1	ACOD1	ACOD1	0	0	0	0	0	0	0	0
ENSBTAG00000008267_CNOT11	CNOT11	CNOT11	CNOT11	77	75	110	90	34	73	81	74
ENSBTAG00000008269_RNF149	RNF149	RNF149	RNF149	3	7	13	19	4	25	50	34
ENSBTAG00000008271_MEDAG	MEDAG	MEDAG	MEDAG	123	71	51	159	17	14	0	9
ENSBTAG00000008272_EBF3	EBF3	EBF3	EBF3	0	0	0	0	0	0	0	0
ENSBTAG00000008274	#VALUE!	-	ENSBTAG00000008274	0	0	0	0	0	0	0	0
ENSBTAG00000008275_GREB1L	GREB1L	GREB1L	GREB1L	0	0	0	0	0	0	0	0
ENSBTAG00000008278_TMEM187	TMEM187	TMEM187	TMEM187	16	9	8	32	0	21	11	2
ENSBTAG00000008279_FRMD4A	FRMD4A	FRMD4A	FRMD4A	9	24	59	24	44	110	61	124
ENSBTAG00000008280_HNF4G	HNF4G	HNF4G	HNF4G	0	0	10	1	1	17	0	40
ENSBTAG00000008283_FLI1	FLI1	FLI1	FLI1	72	28	19	17	2	0	11	0
ENSBTAG00000008285_OXR1	OXR1	OXR1	OXR1	331	171	246	355	72	217	281	235
ENSBTAG00000008287_YLPM1	YLPM1	YLPM1	YLPM1	70	93	117	83	38	35	13	20
ENSBTAG00000008288_ANKRD26	ANKRD26	ANKRD26	ANKRD26	22	27	36	18	14	21	27	1
ENSBTAG00000008289_ZBTB4	ZBTB4	ZBTB4	ZBTB4	35	46	8	83	17	25	42	43
ENSBTAG00000008291_PROCR	PROCR	PROCR	PROCR	141	171	78	161	44	45	78	74
ENSBTAG00000008292_SNRPD1	SNRPD1	SNRPD1	SNRPD1	1015.93	423.98	906.98	663.96	343	132	178	161
ENSBTAG00000008293_GPCPD1	GPCPD1	GPCPD1	GPCPD1	121	44	27	27	187	432	192	186
ENSBTAG00000008294_KCNJ2	KCNJ2	KCNJ2	KCNJ2	31	4	20	5	20	70	68	173
ENSBTAG00000008295_ACTL6B	ACTL6B	ACTL6B	ACTL6B	0	0	0	0	0	0	0	0
ENSBTAG00000008296_EEF1AKMT1	EEF1AKMT1	EEF1AKMT1	EEF1AKMT1	119	107	179	94	40	45	44	36
ENSBTAG00000008299_IL20RB	IL20RB	IL20RB	IL20RB	619	569	615	1026	228	762	715	681
ENSBTAG00000008300_FN1	FN1	FN1	FN1	27	74	13	42	0	7	0	0
ENSBTAG00000008301_WNK2	WNK2	WNK2	WNK2	10	0	0	7	5	7	1	1
ENSBTAG00000008302_RINT1	RINT1	RINT1	RINT1	112	57	65	48	49	67	60	93
ENSBTAG00000008303_FKBP1A	FKBP1A	FKBP1A	FKBP1A	2710.98	1717	2792.97	1776	1491.94	1565.97	2392.98	1829
ENSBTAG00000008306_MKRN1	MKRN1	MKRN1	MKRN1	89	98	134	68	156	240	214	149
ENSBTAG00000008307_PLCH1	PLCH1	PLCH1	PLCH1	6	7	0	0	13	92	66	50
ENSBTAG00000008309_ATP13A2	ATP13A2	ATP13A2	ATP13A2	51	46	65	37	13	60	141	97
ENSBTAG00000008310_TMEM9B	TMEM9B	TMEM9B	TMEM9B	767	557	674	751	652	884	824	1004
ENSBTAG00000008312_OR51L2	OR51L2	OR51L2	OR51L2	0	0	0	0	0	0	0	0
ENSBTAG00000008313_KLF15	KLF15	KLF15	KLF15	0	5	0	0	0	2	3	0
ENSBTAG00000008314_SDHB	SDHB	SDHB	SDHB	3962	3994	2921	4766	1669	2239	1724	2757
ENSBTAG00000008318_AIPL1	AIPL1	AIPL1	AIPL1	0	2	0	0	0	0	0	0
ENSBTAG00000008319_DUSP9	DUSP9	DUSP9	DUSP9	0	0	0	0	0	0	0	0
ENSBTAG00000008320_SEPTIN5	SEPTIN5	SEPTIN5	SEPTIN5	29	7	105	17	99	177	572	221
ENSBTAG00000008321_RNF8	RNF8	RNF8	RNF8	401	402	436	356	93	280	127	210
ENSBTAG00000008322_KCNA10	KCNA10	KCNA10	KCNA10	0	0	0	0	0	0	0	0
ENSBTAG00000008323_SNAP25	SNAP25	SNAP25	SNAP25	17	17	9	26	35	64	15	37
ENSBTAG00000008325	#VALUE!	-	ENSBTAG00000008325	0	0	0	0	0	0	0	0
ENSBTAG00000008328	#VALUE!	-	ENSBTAG00000008328	0	0	0	0	0	0	6	0
ENSBTAG00000008329_CYTIP	CYTIP	CYTIP	CYTIP	31	5	22	14	0	0	0	0
ENSBTAG00000008330_RNF19B	RNF19B	RNF19B	RNF19B	39	96	75	98	98	34	84	86
ENSBTAG00000008331_TMEM54	TMEM54	TMEM54	TMEM54	200	91	111	247	491	556	1200	688
ENSBTAG00000008332_ENPEP	ENPEP	ENPEP	ENPEP	2	18	19	14	0	0	0	0
ENSBTAG00000008333_ETV4	ETV4	ETV4	ETV4	3	7	18	0	5	21	4	19
ENSBTAG00000008335_OR1AE1	OR1AE1	OR1AE1	OR1AE1	0	0	0	0	0	0	0	0
ENSBTAG00000008336_HPCA	HPCA	HPCA	HPCA	66	42	50	98	198	206	452	259
ENSBTAG00000008338_PLCB1	PLCB1	PLCB1	PLCB1	10	17	8	12	0	0	0	0
ENSBTAG00000008339_DHX8	DHX8	DHX8	DHX8	110	150	197	128	95	131	262	130
ENSBTAG00000008340_ATOX1	ATOX1	ATOX1	ATOX1	846	668	558	711	2202	1219	2007	2360
ENSBTAG00000008341_ARSB	ARSB	ARSB	ARSB	237	2209	778	1496	80	1173	169	529
ENSBTAG00000008342_TMPRSS13	TMPRSS13	TMPRSS13	TMPRSS13	348	286	321	285	121	439	376	300
ENSBTAG00000008343	#VALUE!	-	ENSBTAG00000008343	0	0	2	33	28	78	5	245
ENSBTAG00000008347_MRPL48	MRPL48	MRPL48	MRPL48	351	262	438	379	131	74	68	187
ENSBTAG00000008348_NOL4L	NOL4L	NOL4L	NOL4L	11	16	2	0	29	22	21	0
ENSBTAG00000008349_ZNF311	ZNF311	ZNF311	ZNF311	13	18	1	19	0	7	13	12
ENSBTAG00000008350_KLHL21	KLHL21	KLHL21	KLHL21	138	141	134	163	158	199	214	297
ENSBTAG00000008351_C5H12orf60	C5H12orf60	C5H12orf60	C5H12orf60	0	0	0	4	0	0	0	0
ENSBTAG00000008352_ART4	ART4	ART4	ART4	9	9	3	21	0	0	0	10
ENSBTAG00000008353_CDKN1A	CDKN1A	CDKN1A	CDKN1A	641	460	747	580	1675	2226	3242	2357
ENSBTAG00000008355_CPSF1	CPSF1	CPSF1	CPSF1	124	93	164	159	33	84	84	63
ENSBTAG00000008359	#VALUE!	-	ENSBTAG00000008359	0.53	0	0	0	0	0	0.01	0
ENSBTAG00000008361_PON2	PON2	PON2	PON2	644	603	412	887	370	640	272	631
ENSBTAG00000008362_CTDSP1	CTDSP1	CTDSP1	CTDSP1	25	31	23	15	0	4	2	2
ENSBTAG00000008363_EXD1	EXD1	EXD1	EXD1	0	0	0	0	0	0	0	0
ENSBTAG00000008365_ANKRD34A	ANKRD34A	ANKRD34A	ANKRD34A	0	0	1	0	0	0	0	0
ENSBTAG00000008366_STAC2	STAC2	STAC2	STAC2	0	0	0	0	0	0	0	0
ENSBTAG00000008368	#VALUE!	-	ENSBTAG00000008368	0	0	0	0	0	0	0	0
ENSBTAG00000008369_RBM8A	RBM8A	RBM8A	RBM8A	681	530	745	453	403	228	322	334
ENSBTAG00000008370_GNRHR2	GNRHR2	GNRHR2	GNRHR2	5	2	6	7	3	4	0	1
ENSBTAG00000008371_FBXL20	FBXL20	FBXL20	FBXL20	78	79	97	61	21	73	29	93
ENSBTAG00000008372_PEX11B	PEX11B	PEX11B	PEX11B	311	281	196	229	118	147	134	151
ENSBTAG00000008373_ITGA10	ITGA10	ITGA10	ITGA10	0	0	22	4	0	11	2	8
ENSBTAG00000008374_AQP2	AQP2	AQP2	AQP2	7	1	0	7	0	3	0	3
ENSBTAG00000008376_SMRP1	SMRP1	SMRP1	SMRP1	57	31	16	27	8	20	3	19
ENSBTAG00000008378_FEM1B	FEM1B	FEM1B	FEM1B	201	251	306	195	205	409	333	251
ENSBTAG00000008379	#VALUE!	-	ENSBTAG00000008379	0	0	0	0	0	0	0	0
ENSBTAG00000008380_ITGA11	ITGA11	ITGA11	ITGA11	8	14	1	7	0	0	0	1
ENSBTAG00000008382_METTL25	METTL25	METTL25	METTL25	5	0	19	0	0	1	1	0
ENSBTAG00000008384_SLC25A47	SLC25A47	SLC25A47	SLC25A47	0	0	0	0	0	0	0	0
ENSBTAG00000008385_KLHL36	KLHL36	KLHL36	KLHL36	21	3	13	12	6	11	5	10
ENSBTAG00000008386_CLPX	CLPX	CLPX	CLPX	428	241	257	226	206	426	435	330
ENSBTAG00000008388_THOC2	THOC2	THOC2	THOC2	568	299.98	274.99	313.84	88	199	316.98	151
ENSBTAG00000008389_HTRA1	HTRA1	HTRA1	HTRA1	756	630	726	577	102	51	44	32
ENSBTAG00000008390_DNAJC10	DNAJC10	DNAJC10	DNAJC10	241.7	93	389.31	195.84	89	167.96	344.3	182.29
ENSBTAG00000008394_MYL3	MYL3	MYL3	MYL3	0	0	0	1	0	0	0	0
ENSBTAG00000008395_APBA3	APBA3	APBA3	APBA3	224	141	205	153	111	225	287	190
ENSBTAG00000008396_MRPL54	MRPL54	MRPL54	MRPL54	408	381	506	467	330	249	387	337
ENSBTAG00000008397_ZNF555	ZNF555	ZNF555	ZNF555	45	25	22	17	9	16	3	1
ENSBTAG00000008399_ATRIP	ATRIP	ATRIP	ATRIP	30	18	66	36	14	46	7	2
ENSBTAG00000008401_PFKFB3	PFKFB3	PFKFB3	PFKFB3	14	0	8	12	0	2	53	11
ENSBTAG00000008403_ROCK1	ROCK1	ROCK1	ROCK1	444	281	369	427	107	259	325	208
ENSBTAG00000008406_TREX1	TREX1	TREX1	TREX1	166	22	83	57	203	19	38	34
ENSBTAG00000008409_MYC	MYC	MYC	MYC	683	578	537	279	152	168	165	146
ENSBTAG00000008410_OVOL2	OVOL2	OVOL2	OVOL2	94	73	99	95	27	17	20	28
ENSBTAG00000008411_PLEKHO2	PLEKHO2	PLEKHO2	PLEKHO2	22	15	27	3	0	0	0	0
ENSBTAG00000008412_BCL7C	BCL7C	BCL7C	BCL7C	103	187	273	218	80	81	79	97
ENSBTAG00000008414_ZFR	ZFR	ZFR	ZFR	280	156	263	231	55	110	136	74
ENSBTAG00000008416_ABHD5	ABHD5	ABHD5	ABHD5	176	167	148	237	97	146	133	195
ENSBTAG00000008417_VPS29	VPS29	VPS29	VPS29	1239	893	1026	1040	579	720	592	631
ENSBTAG00000008419_PDE2A	PDE2A	PDE2A	PDE2A	13	18	25	4	0	0	0	0
ENSBTAG00000008420_BRINP3	BRINP3	BRINP3	BRINP3	0	0	0	0	0	0	0	0
ENSBTAG00000008421_SCRIB	SCRIB	SCRIB	SCRIB	12	7	14	5	14	15	13	23
ENSBTAG00000008423_TIMM22	TIMM22	TIMM22	TIMM22	273	147	265	141	91	57	77	86
ENSBTAG00000008424_ABR	ABR	ABR	ABR	360	411	532	389	49	175	97	100
ENSBTAG00000008426	#VALUE!	-	ENSBTAG00000008426	0	0	0	0	0	0	0	0
ENSBTAG00000008428_UPP1	UPP1	UPP1	UPP1	94	37	101	67	858	1378	1445	2665
ENSBTAG00000008429_LRP4	LRP4	LRP4	LRP4	14	17	31	34	3	14	50	27
ENSBTAG00000008430_RANBP3L	RANBP3L	RANBP3L	RANBP3L	0	0	0	0	0	0	0	0
ENSBTAG00000008431_MOGAT1	MOGAT1	MOGAT1	MOGAT1	0	0	8	0	0	0	0	0
ENSBTAG00000008432_NUP98	NUP98	NUP98	NUP98	99	112	98	70	44	126	24	54
ENSBTAG00000008433_PGAP2	PGAP2	PGAP2	PGAP2	515	371	631	477	217	438	488	297
ENSBTAG00000008434_GCAT	GCAT	GCAT	GCAT	142	106	146	181	83	68	100	63
ENSBTAG00000008435_DELE1	DELE1	DELE1	DELE1	355	321	311	362	27	73	85	87
ENSBTAG00000008436_CDC25B	CDC25B	CDC25B	CDC25B	102	58	169	84	14	4	22	2
ENSBTAG00000008437_PCDH12	PCDH12	PCDH12	PCDH12	0	14	8	11	0	1	0	0
ENSBTAG00000008438_ARFIP1	ARFIP1	ARFIP1	ARFIP1	291	175	277	202	294	339	369	350
ENSBTAG00000008439_AP5S1	AP5S1	AP5S1	AP5S1	87	73	141	153	42	26	28	19
ENSBTAG00000008441_SOCS3	SOCS3	SOCS3	SOCS3	0	0	0	0	0	0	7	0
ENSBTAG00000008442_NSF	NSF	NSF	NSF	168	137	187	141	207	165	374	212
ENSBTAG00000008443_LARP1	LARP1	LARP1	LARP1	486	278	525	376	250	246	232	249
ENSBTAG00000008446_TYW1	TYW1	TYW1	TYW1	7	25	48	64	12	56	18	33
ENSBTAG00000008448_MEIS1	MEIS1	MEIS1	MEIS1	930	812	707	1043	330	457	528	574
ENSBTAG00000008449_DNAH14	DNAH14	DNAH14	DNAH14	0	3	0	0	0	0	0	0
ENSBTAG00000008452_IHH	IHH	IHH	IHH	0	0	2	0	0	0	0	0
ENSBTAG00000008453_LBR	LBR	LBR	LBR	135	136	247	136	60	97	145	108
ENSBTAG00000008457_SLU7	SLU7	SLU7	SLU7	135	92	116	131	26	88	101	144
ENSBTAG00000008461_LSG1	LSG1	LSG1	LSG1	201	136	115	71	104	85	114	78
ENSBTAG00000008462_FAM43A	FAM43A	FAM43A	FAM43A	10	12	15	8	10	8	71	15
ENSBTAG00000008463_SLC22A14	SLC22A14	SLC22A14	SLC22A14	0	0	0	0	0	0	0	0
ENSBTAG00000008464_ABCB9	ABCB9	ABCB9	ABCB9	11	5	0	9	3	24	30	8
ENSBTAG00000008465_ACCS	ACCS	ACCS	ACCS	8	14	57	24	0	0	6	19
ENSBTAG00000008466_CCNB1IP1	CCNB1IP1	CCNB1IP1	CCNB1IP1	3	1	8	13	0	0	0	0
ENSBTAG00000008467_HENMT1	HENMT1	HENMT1	HENMT1	0	8	2	7	0	6	0	0
ENSBTAG00000008468_AGAP3	AGAP3	AGAP3	AGAP3	15	7	29	8	10	22	9	13
ENSBTAG00000008470_MPHOSPH9	MPHOSPH9	MPHOSPH9	MPHOSPH9	197	90	304	98	16	54	38	30
ENSBTAG00000008471_MX2	MX2	MX2	MX2	228	0	36.05	0	1938	14	24	11
ENSBTAG00000008472_CRNKL1	CRNKL1	CRNKL1	CRNKL1	234	118	273	165	80	218	330	220
ENSBTAG00000008479_CXCL13	CXCL13	CXCL13	CXCL13	0	0	0	0	0	0	0	0
ENSBTAG00000008480_CTBP1	CTBP1	CTBP1	CTBP1	105	125	130	121	47	47	88	67
ENSBTAG00000008482_SON	SON	SON	SON	746	604	875	713	350	454	490	494
ENSBTAG00000008483_CALCRL	CALCRL	CALCRL	CALCRL	112	77	73	61	4	8	0	8
ENSBTAG00000008484_TMEM161B	TMEM161B	TMEM161B	TMEM161B	78	147	74	108	106	96	15	140
ENSBTAG00000008487_VPS37D	VPS37D	VPS37D	VPS37D	0	5	3	17	0	9	0	5
ENSBTAG00000008490_CRYZL1	CRYZL1	CRYZL1	CRYZL1	220.84	166.63	117.63	199.05	28.67	69.77	87.63	87.1
ENSBTAG00000008491	#VALUE!	-	ENSBTAG00000008491	0	0	1	0	0	0	0	1.01
ENSBTAG00000008492_ZMYM3	ZMYM3	ZMYM3	ZMYM3	51	29	47	39	3	10	29	42
ENSBTAG00000008493_AQP3	AQP3	AQP3	AQP3	2982	1772	2749	2102	3559	4960	5025	4434
ENSBTAG00000008494_TMEM171	TMEM171	TMEM171	TMEM171	82	22	24	42	585	685	586	1279
ENSBTAG00000008495_AP3B2	AP3B2	AP3B2	AP3B2	0	5	7	1	12	62	117	76
ENSBTAG00000008497_RGS14	RGS14	RGS14	RGS14	56	32	25	49	42	51	62	72
ENSBTAG00000008498_ALYREF	ALYREF	ALYREF	ALYREF	1096	736	667	1324	338	244	216	312
ENSBTAG00000008499_TROAP	TROAP	TROAP	TROAP	41	5	62	24	0	1	13	0
ENSBTAG00000008500_CTRB1	CTRB1	CTRB1	CTRB1	0	0	0	0	0	0	0	0
ENSBTAG00000008501_FOXD3	FOXD3	FOXD3	FOXD3	0	0	0	0	0	0	0	0
ENSBTAG00000008502	#VALUE!	-	ENSBTAG00000008502	2	0	0	0	0	0	0	0
ENSBTAG00000008504_SYNGR3	SYNGR3	SYNGR3	SYNGR3	0	2	0	5	2	1	15	14
ENSBTAG00000008505_APOB	APOB	APOB	APOB	2	0	1	0	0	0	0	0
ENSBTAG00000008507_SPHK1	SPHK1	SPHK1	SPHK1	9	1	16	11	14	51	54	29
ENSBTAG00000008509_SLC38A3	SLC38A3	SLC38A3	SLC38A3	0	0	0	0	0	0	8	5
ENSBTAG00000008510_FBXO42	FBXO42	FBXO42	FBXO42	50	18	40	19	7	41	41	18
ENSBTAG00000008511	#VALUE!	-	ENSBTAG00000008511	0	0	0	0	0	0	0	0
ENSBTAG00000008512_KCNV1	KCNV1	KCNV1	KCNV1	0	0	0	0	0	0	0	0
ENSBTAG00000008513_RHEX	RHEX	RHEX	RHEX	87	3	0	4	6	0	0	0
ENSBTAG00000008518_MED25	MED25	MED25	MED25	26	20	23	31	30	32	17	43
ENSBTAG00000008520_NFIC	NFIC	NFIC	NFIC	532	382	543	444	80	118	77	69
ENSBTAG00000008523_TFE3	TFE3	TFE3	TFE3	60	79	111	120	58	58	92	49
ENSBTAG00000008525_LRIG2	LRIG2	LRIG2	LRIG2	27	20	29	5	3	24	7	12
ENSBTAG00000008527_SRSF6	SRSF6	SRSF6	SRSF6	1010	646	716	819	270	343	304	363
ENSBTAG00000008528_SLC25A1	SLC25A1	SLC25A1	SLC25A1	105	121	113	242	94	78	124	93
ENSBTAG00000008530_SLC36A4	SLC36A4	SLC36A4	SLC36A4	137	181	292	205	65	192	155	222
ENSBTAG00000008533_GLCCI1	GLCCI1	GLCCI1	GLCCI1	1	0	0	0	1	0	13	0
ENSBTAG00000008535_SOCS7	SOCS7	SOCS7	SOCS7	0	1	0	4	0	0	3	0
ENSBTAG00000008537_FAM219A	FAM219A	FAM219A	FAM219A	0	0	0	0	0	0	0	0
ENSBTAG00000008538_DNAI1	DNAI1	DNAI1	DNAI1	0	0	0	0	0	0	0	0
ENSBTAG00000008539_ENHO	ENHO	ENHO	ENHO	7	4	3	0	0	0	2	0
ENSBTAG00000008540_SLC22A1	SLC22A1	SLC22A1	SLC22A1	0	0	0	0	0	0	0	0
ENSBTAG00000008541_MGST1	MGST1	MGST1	MGST1	7439	5918	4864	7576	4770	5351	3255	5653
ENSBTAG00000008542_SSPO	SSPO	SSPO	SSPO	0	0	0	0	0	0	0	0
ENSBTAG00000008543_GTF2H5	GTF2H5	GTF2H5	GTF2H5	927	587	781	721	677	399	562	637
ENSBTAG00000008544_SALL1	SALL1	SALL1	SALL1	0	0	0	0	0	0	0	0
ENSBTAG00000008545_ATF3	ATF3	ATF3	ATF3	14	3	5	18	3	19	4	5
ENSBTAG00000008546_SYNGR4	SYNGR4	SYNGR4	SYNGR4	0	0	0	0	0	0	0	0
ENSBTAG00000008548_FAM98A	FAM98A	FAM98A	FAM98A	282	86	195	163	191	244	273	157
ENSBTAG00000008550_GIMAP7	GIMAP7	GIMAP7	GIMAP7	24	0	13	4	0	0	0	0
ENSBTAG00000008551_TUSC1	TUSC1	TUSC1	TUSC1	0	1	0	3	0	0	4	0
ENSBTAG00000008552	#VALUE!	-	ENSBTAG00000008552	35	35	17	33	19	26	40	11
ENSBTAG00000008553_B4GALNT3	B4GALNT3	B4GALNT3	B4GALNT3	9	2	10	5	27	46	61	54
ENSBTAG00000008554_NINJ2	NINJ2	NINJ2	NINJ2	0	0	0	1	0	0	0	0
ENSBTAG00000008555_P2RY10	P2RY10	P2RY10	P2RY10	21	2	11	0	0	1	0	0
ENSBTAG00000008556_POU2F2	POU2F2	POU2F2	POU2F2	2	0	0	0	0	3	0	1
ENSBTAG00000008557	#VALUE!	-	ENSBTAG00000008557	16.14	13.14	17.1	22.2	1	9.06	10.04	8.07
ENSBTAG00000008562_POGLUT1	POGLUT1	POGLUT1	POGLUT1	86	43	69	58	56	50	89	18
ENSBTAG00000008564	#VALUE!	-	ENSBTAG00000008564	0	0	0	0	0	0	0	0
ENSBTAG00000008567_DLEC1	DLEC1	DLEC1	DLEC1	0	0	0	0	7	7	4	0
ENSBTAG00000008568_SLC25A45	SLC25A45	SLC25A45	SLC25A45	1	2	6	0	0	0	0	0
ENSBTAG00000008570_RPS14	RPS14	RPS14	RPS14	9711	10133	6962	9297	4130	4321	3782	4539
ENSBTAG00000008571_CUX2	CUX2	CUX2	CUX2	0	0	0	9	6	0	0	0
ENSBTAG00000008573_ZFP36	ZFP36	ZFP36	ZFP36	608	333	416	344	810	685	1596	679
ENSBTAG00000008575_CGNL1	CGNL1	CGNL1	CGNL1	0	0	3	0	15	44	62	27
ENSBTAG00000008576_PLEKHD1	PLEKHD1	PLEKHD1	PLEKHD1	0	0	0	0	0	0	0	0
ENSBTAG00000008577_GRSF1	GRSF1	GRSF1	GRSF1	115	103	265	109	148	185	189	157
ENSBTAG00000008578_LSM4	LSM4	LSM4	LSM4	560	458	783	562	193	196	184	249
ENSBTAG00000008579_RCC2	RCC2	RCC2	RCC2	245	264	347	501	242	214	487	299
ENSBTAG00000008583_PALD1	PALD1	PALD1	PALD1	21	16	10	27	0	0	0	0
ENSBTAG00000008584_CLN8	CLN8	CLN8	CLN8	107	115	106	112	97	98	201	142
ENSBTAG00000008585_ARHGEF10	ARHGEF10	ARHGEF10	ARHGEF10	0	3	9	3	0	0	0	0
ENSBTAG00000008587_GSTT2	GSTT2	GSTT2	GSTT2	104	124	143	68	33	52	157	43
